id,start_time,end_time,anesthetist_id,room_id
0,2023-04-25 07:00,2023-04-25 07:15,anesth-41,room-19
1,2023-04-25 07:00,2023-04-25 07:30,anesth-33,room-18
2,2023-04-25 07:00,2023-04-25 07:30,anesth-40,room-17
3,2023-04-25 07:00,2023-04-25 07:30,anesth-39,room-16
4,2023-04-25 07:00,2023-04-25 07:45,anesth-38,room-15
5,2023-04-25 07:00,2023-04-25 08:00,anesth-37,room-14
6,2023-04-25 07:00,2023-04-25 08:45,anesth-36,room-13
7,2023-04-25 07:00,2023-04-25 09:45,anesth-35,room-12
8,2023-04-25 07:15,2023-04-25 07:30,anesth-41,room-19
9,2023-04-25 07:15,2023-04-25 07:30,anesth-34,room-11
10,2023-04-25 07:15,2023-04-25 08:00,anesth-32,room-10
11,2023-04-25 07:15,2023-04-25 09:30,anesth-31,room-9
14,2023-04-25 07:30,2023-04-25 08:15,anesth-41,room-19
12,2023-04-25 07:30,2023-04-25 07:45,anesth-40,room-17
13,2023-04-25 07:30,2023-04-25 07:45,anesth-39,room-16
15,2023-04-25 07:45,2023-04-25 08:30,anesth-40,room-17
16,2023-04-25 07:45,2023-04-25 08:45,anesth-39,room-16
17,2023-04-25 07:45,2023-04-25 09:00,anesth-38,room-15
18,2023-04-25 07:45,2023-04-25 09:30,anesth-34,room-18
19,2023-04-25 08:00,2023-04-25 08:15,anesth-37,room-14
20,2023-04-25 08:00,2023-04-25 08:45,anesth-33,room-11
21,2023-04-25 08:00,2023-04-25 09:00,anesth-32,room-10
22,2023-04-25 08:00,2023-04-25 09:45,anesth-30,room-8
23,2023-04-25 08:30,2023-04-25 10:30,anesth-41,room-6
24,2023-04-25 08:45,2023-04-25 11:30,anesth-40,room-19
25,2023-04-25 09:00,2023-04-25 10:45,anesth-39,room-5
27,2023-04-25 09:15,2023-04-25 10:30,anesth-21,room-17
26,2023-04-25 09:15,2023-04-25 10:30,anesth-38,room-16
28,2023-04-25 09:30,2023-04-25 10:30,anesth-31,room-9
29,2023-04-25 09:30,2023-04-25 10:45,anesth-37,room-18
30,2023-04-25 09:45,2023-04-25 10:30,anesth-36,room-15
31,2023-04-25 09:45,2023-04-25 12:00,anesth-35,room-12
32,2023-04-25 10:00,2023-04-25 11:00,anesth-34,room-14
33,2023-04-25 10:00,2023-04-25 12:45,anesth-33,room-13
34,2023-04-25 10:15,2023-04-25 10:45,anesth-32,room-11
35,2023-04-25 10:15,2023-04-25 12:15,anesth-30,room-10
36,2023-04-25 10:45,2023-04-25 12:00,anesth-5,room-18
37,2023-04-25 10:45,2023-04-25 12:30,anesth-41,room-17
39,2023-04-25 11:00,2023-04-25 12:15,anesth-39,room-16
38,2023-04-25 11:00,2023-04-25 11:15,anesth-38,room-15
40,2023-04-25 11:15,2023-04-25 11:30,anesth-38,room-15
41,2023-04-25 11:30,2023-04-25 13:45,anesth-40,room-19
42,2023-04-25 11:30,2023-04-25 14:15,anesth-29,room-15
43,2023-04-25 11:45,2023-04-25 12:15,anesth-34,room-14
44,2023-04-25 11:45,2023-04-25 13:15,anesth-6,room-11
45,2023-04-25 11:45,2023-04-25 14:15,anesth-28,room-9
46,2023-04-25 11:45,2023-04-25 14:15,anesth-27,room-8
47,2023-04-25 12:00,2023-04-25 12:15,anesth-32,room-18
48,2023-04-25 12:15,2023-04-25 12:30,anesth-16,room-18
49,2023-04-25 12:15,2023-04-25 12:45,anesth-30,room-10
50,2023-04-25 12:15,2023-04-25 12:45,anesth-15,room-16
51,2023-04-25 12:15,2023-04-25 13:00,anesth-26,room-14
52,2023-04-25 12:15,2023-04-25 14:45,anesth-25,room-12
53,2023-04-25 12:30,2023-04-25 12:45,anesth-24,room-18
54,2023-04-25 12:45,2023-04-25 14:30,anesth-24,room-18
56,2023-04-25 13:00,2023-04-25 14:45,anesth-26,room-14
55,2023-04-25 13:00,2023-04-25 14:00,anesth-23,room-17
57,2023-04-25 13:15,2023-04-25 13:45,anesth-22,room-16
58,2023-04-25 13:15,2023-04-25 13:45,anesth-21,room-13
59,2023-04-25 13:45,2023-04-25 14:45,anesth-22,room-16
60,2023-04-25 13:45,2023-04-25 15:45,anesth-20,room-19
61,2023-04-25 14:00,2023-04-25 16:45,anesth-1,room-17
62,2023-04-25 14:15,2023-04-25 15:15,anesth-29,room-15
63,2023-04-25 14:15,2023-04-25 16:00,anesth-28,room-9
64,2023-04-25 14:15,2023-04-25 16:45,anesth-27,room-8
65,2023-04-25 14:30,2023-04-25 15:15,anesth-24,room-18
66,2023-04-25 14:30,2023-04-25 17:15,anesth-23,room-13
67,2023-04-25 15:00,2023-04-25 16:15,anesth-26,room-16
69,2023-04-25 15:30,2023-04-25 18:15,anesth-22,room-18
68,2023-04-25 15:30,2023-04-25 16:00,anesth-29,room-15
70,2023-04-25 15:45,2023-04-25 16:00,anesth-25,room-14
71,2023-04-25 15:45,2023-04-25 17:00,anesth-24,room-12
72,2023-04-25 15:45,2023-04-25 17:00,anesth-20,room-19
73,2023-04-25 16:00,2023-04-25 18:30,anesth-19,room-15
74,2023-04-25 16:15,2023-04-25 16:30,anesth-29,room-16
75,2023-04-25 16:15,2023-04-25 16:45,anesth-15,room-14
76,2023-04-25 16:15,2023-04-25 18:45,anesth-10,room-11
77,2023-04-25 16:30,2023-04-25 17:45,anesth-18,room-16
78,2023-04-25 16:45,2023-04-25 17:00,anesth-26,room-17
79,2023-04-25 16:45,2023-04-25 17:15,anesth-25,room-14
80,2023-04-25 16:45,2023-04-25 17:45,anesth-17,room-10
81,2023-04-25 17:00,2023-04-25 18:00,anesth-20,room-19
85,2023-04-25 17:15,2023-04-25 19:30,anesth-14,room-17
84,2023-04-25 17:15,2023-04-25 19:15,anesth-13,room-14
83,2023-04-25 17:15,2023-04-25 19:00,anesth-12,room-13
82,2023-04-25 17:15,2023-04-25 19:00,anesth-11,room-12
86,2023-04-25 17:30,2023-04-25 18:45,anesth-9,room-9
87,2023-04-25 17:30,2023-04-25 19:30,anesth-8,room-8
88,2023-04-25 17:45,2023-04-25 18:15,anesth-18,room-16
89,2023-04-25 17:45,2023-04-25 18:45,anesth-17,room-10
90,2023-04-25 18:00,2023-04-25 20:15,anesth-7,room-19
91,2023-04-25 18:15,2023-04-25 18:30,anesth-20,room-18
92,2023-04-25 18:15,2023-04-25 18:45,anesth-18,room-16
93,2023-04-25 18:15,2023-04-25 19:00,anesth-4,room-7
94,2023-04-25 18:15,2023-04-25 19:30,anesth-3,room-6
95,2023-04-25 18:15,2023-04-25 19:45,anesth-2,room-5
96,2023-04-25 18:30,2023-04-25 19:45,anesth-19,room-15
97,2023-04-25 18:45,2023-04-25 20:15,anesth-18,room-16
98,2023-04-25 19:00,2023-04-25 19:30,anesth-17,room-18
99,2023-04-25 19:00,2023-04-25 20:30,anesth-12,room-13
100,2023-04-25 19:15,2023-04-25 21:00,anesth-13,room-14
101,2023-04-25 19:30,2023-04-25 20:45,anesth-17,room-18
102,2023-04-25 19:30,2023-04-25 21:00,anesth-14,room-17
103,2023-04-25 19:30,2023-04-25 21:00,anesth-11,room-12
104,2023-04-25 19:45,2023-04-25 20:30,anesth-19,room-15
105,2023-04-25 19:45,2023-04-25 20:30,anesth-10,room-11
106,2023-04-25 19:45,2023-04-25 20:45,anesth-9,room-10
107,2023-04-25 19:45,2023-04-25 20:45,anesth-0,room-9
108,2023-04-25 20:15,2023-04-25 20:30,anesth-18,room-16
109,2023-04-25 20:15,2023-04-25 20:45,anesth-8,room-8
110,2023-04-25 20:15,2023-04-25 20:45,anesth-7,room-19
112,2023-04-25 20:30,2023-04-25 21:00,anesth-19,room-15
111,2023-04-25 20:30,2023-04-25 21:00,anesth-18,room-16
113,2023-04-25 20:45,2023-04-25 21:00,anesth-17,room-18
